
Commodity Name,Quantity,"Unit of
Measure","Average
Price
August
2020","Average
Price July
2021","Average
Price
August
2021","% Change
over last
month
August
2021/ July
2021","% Change
over last
Year
August
2021/
August",2021,August
Potatoes (Irish),1,Kg,62.21,70.75,70.42,-0.48,13.19,2021,August
Onion -Leeks and Bulbs,1,Kg,103.64,111.32,110.98,-0.30,7.08,2021,August
Sugar,1,Kg,113.58,110.31,110.07,-0.22,-3.09,2021,August
Kale-Sukuma Wiki,1,Kg,48.41,56.17,56.46,0.52,16.63,2021,August
Beef - With Bones,1,Kg,433.21,476.21,479.85,0.76,10.77,2021,August
Carrots,1,Kg,69.48,74.65,76.31,2.22,9.82,2021,August
Oranges,1,Kg,61.90,64.37,65.94,2.44,6.53,2021,August
Spinach,1,Kg,53.84,64.07,66.03,3.06,22.65,2021,August
Cabbages,1,Kg,36.54,45.88,47.60,3.74,30.28,2021,August
"House Rent - single
room",1,Per Month,"3 ,610.09","3 ,728.67","3,742.31",0.37,3.66,2021,August
Electricity,50,Kilowatts,7 93.13,893.48,8 93.21,-0.03,12.62,2021,August
Electricity,200,Kilowatts,"4 ,576.10","4 ,977.50","4,976.44",-0.02,8.75,2021,August
Gas/LPG,13,Kg,"2 ,060.15","2 ,394.18","2,420.68",1.11,17.50,2021,August
Kerosene/Paraffin,1,Litre,84.60,98.78,98.78,0.00,16.76,2021,August
"Country Bus /Matatu
Fare (Meru to Nairobi)",1,Ticket,800.00,1000.00,800.00,-20.00,0.00,2021,August
"City Bus/Matatu Fares
(Bomas to Nyayo)",1,Ticket,50.00,60.00,50.00,-16.67,0.00,2021,August
Petrol,1,Litre,104.83,127.98,127.98,0.00,22.08,2021,August
Diesel,1,Litre,95.57,108.58,108.58,0.00,13.61,2021,August
