
Broad Commodity Group,Weight,"% Change on last
monthSep
2019/ Aug
2019 )","% Change on same
month of previous
year (Sep2019
/Sep2018)",2019,September,,,
Food and Non-Alcoholic Beverages,36.04,-0.40,6.31,2019,September,,,
"Alcoholic Beverages, Tobacco and Narcotics",2.06,0.25,6.21,2019,September,,,
Clothing and Footwear,7.43,0.18,1.57,2019,September,,,
"Housing, Water, Electricity, Gas and other
Fuels",18.30,0.07,0.99,2019,September,,,
"Furnishings, Household Equipment and
Routine Household Maintenance",6.16,0.11,1.55,2019,September,,,
Health,3.13,0.04,1.35,2019,September,,,
Transport,8.66,0.48,1.91,2019,September,,,
Communication,3.82,0.02,4.46,2019,September,,,
Recreation and Culture,2.25,0.02,0.38,2019,September,,,
Education,3.14,0.06,1.58,2019,September,,,
Restaurant and Hotels,4.48,0.11,2.13,2019,September,,,
Miscellaneous Goods and Services,4.52,0.14,2.35,2019,September,,,
Total,100.00,-0.11,3.83,2019,September,,,
Commodity Name,Unit of measure,"Average
price -
September
2018","Average
price -
August
2019",2019,September,"Average
price
September
2019","% Change
over last
month
(Sep19/
Aug19)","% Change
over a year
ago (Sep
19/ Sep 18)"
Maize Grain - Loose,1 Kg,40.55,47.58,2019,September,48.02,0.92,18.44
Green Grams,1 Kg,156.51,180.19,2019,September,184.93,2.63,18.16
Maize Flour - Loose,1 Kg,43.90,53.39,2019,September,53.90,0.95,22.77
Kale-Sukuma Wiki,1 Kg,46.47,37.19,2019,September,38.11,2.46,-18.00
Tomatoes,1 Kg,70.55,90.17,2019,September,86.44,-4.14,22.51
Cabbages,1 Kg,43.53,43.26,2019,September,40.52,-6.32,-6.90
Carrots,1 Kg,59.35,72.49,2019,September,65.39,-9.80,10.17
Onions,1 Kg,102.30,97.74,2019,September,93.93,-3.89,-8.18
Potatoes (Irish),1 Kg,77.60,67.43,2019,September,65.81,-2.40,-15.18
Sugar,1 Kg,140.46,107.22,2019,September,106.15,-1.00,-24.43
House rent,1 Room,4406.45,4496.38,2019,September,4515.98,0.44,2.49
Electricity,200 KWh,"4 ,394.80","4 ,776.70",2019,September,"4 ,740.54",-0.76,7.87
Electricity,50 KWh,"1 ,064.21",843.27,2019,September,834.23,-1.07,-21.61
Gas -(LPG),13 Kg,"2 ,187.21","2 ,150.27",2019,September,"2 ,141.31",-0.42,-2.10
Kerosene,1 litre,109.25,104.80,2019,September,101.44,-3.21,-7.15
Petrol,1 litre,117.54,113.29,2019,September,113.57,0.25,-3.38
Diesel,1 litre,108.97,101.45,2019,September,103.90,2.41,-4.65
