Commodity Name,Unit of measure,"Average
price -
September
2018","Average
price -
August
2019","Average
price
September
2019","% Change
over last
month
(Sep19/
Aug19)","% Change
over a year
ago (Sep
19/ Sep 18)"
Maize Grain - Loose,1 Kg,40.55,47.58,48.02,0.92,18.44
Green Grams,1 Kg,156.51,180.19,184.93,2.63,18.16
Maize Flour - Loose,1 Kg,43.90,53.39,53.90,0.95,22.77
Kale-Sukuma Wiki,1 Kg,46.47,37.19,38.11,2.46,-18.00
Tomatoes,1 Kg,70.55,90.17,86.44,-4.14,22.51
Cabbages,1 Kg,43.53,43.26,40.52,-6.32,-6.90
Carrots,1 Kg,59.35,72.49,65.39,-9.80,10.17
Onions,1 Kg,102.30,97.74,93.93,-3.89,-8.18
Potatoes (Irish),1 Kg,77.60,67.43,65.81,-2.40,-15.18
Sugar,1 Kg,140.46,107.22,106.15,-1.00,-24.43
House rent,1 Room,4406.45,4496.38,4515.98,0.44,2.49
Electricity,200 KWh,"4 ,394.80","4 ,776.70","4 ,740.54",-0.76,7.87
Electricity,50 KWh,"1 ,064.21",843.27,834.23,-1.07,-21.61
Gas -(LPG),13 Kg,"2 ,187.21","2 ,150.27","2 ,141.31",-0.42,-2.10
Kerosene,1 litre,109.25,104.80,101.44,-3.21,-7.15
Petrol,1 litre,117.54,113.29,113.57,0.25,-3.38
Diesel,1 litre,108.97,101.45,103.90,2.41,-4.65
