
Commodity Name,Quantity,"Unit of
Measure","Average
Price in
June 2020","Average
Price in
May2021","Average
Price in
June 2021","% Change
over last
month
June
2021/May
2021","% Change
over same
month of
last Year
June
2021/
June 2020",2021,June
Kale-Sukuma Wiki,1,Kg,53.23,53.98,55.83,3.42,4.87,2021,June
Melons,1,Kg,64.28,67.93,70.24,3.40,9.27,2021,June
Spinach,1,Kg,60.16,62.17,63.73,2.52,5.94,2021,June
"Offals (Matumbo, Liver and
Kidney)",1,Kg,258.78,275.99,281.71,2.07,8.86,2021,June
Cooking Fat,500,Gram,106.47,121.70,123.34,1.35,15.85,2021,June
Beef - With Bones,1,Kg,436.01,470.22,472.74,0.54,8.43,2021,June
Potatoes (Irish),1,Kg,68.01,70.77,69.97,-1.13,2.88,2021,June
Onion -Leeks and Bulbs,1,Kg,127.86,112.65,110.78,-1.67,-13.36,2021,June
Tomatoes,1,Kg,101.79,110.15,106.18,-3.61,4.31,2021,June
Electricity,50,Kilowatts,768.28,837.18,884.11,5.61,15.08,2021,June
Electricity,200,Kilowatts,"4,529.45","4,752.32","4,940.05",3.95,9.07,2021,June
House rent- single room,1,Per Month,"3,614.20","3,694.71","3,719.99",0.68,2.93,2021,June
Petrol,1,Litre,90.34,127.21,127.98,0.61,41.66,2021,June
