Commodity Name,"Units of
Measure","Average
Price
August
2013","Average
Price
July
2014","Average
Price
August
2014","%
change
on last
month","% change
on same
month
last year"
Fresh Packeted Milk,500 Ml,47.02,48.51,48.69,0.4,3.6
Fresh Unpacketed Milk,1000 ml,52.68,52.31,52.99,1.3,0.6
Offals - Matumbo,1 Kg,206.64,218.26,220.61,1.1,6.8
Mutton/Goat Meat,1 Kg,409.31,437.76,439.59,0.4,7.4
Maize Grain - Loose,1 Kg,41.86,46.52,46.61,0.2,11.3
Mangoes,1 Kg,61.54,64.49,67.96,5.4,10.4
Beans,1 Kg,96.71,107.22,106.16,-1.0,9.8
Maize Flour - Sifted,2 Kg,106.33,118.04,116.94,-0.9,10.0
Gas LPG,13 Kg,2575.93,3042.80,3109.67,2.2,20.7
Charcoal,4 Kg,71.68,73.11,73.52,0.6,2.6
Electricity,50 Kwh,566.50,691,689.50,-0.3,21.7
Electricity,200 Kwh,3052.00,3919,3913.00,-0.2,28.2
Matatu Fares,250 Km,348.83,394.21,397.92,0.9,14.1
Petrol,1 litre,113.01,116.67,117.30,0.5,3.8
Country Bus Fares,350 Km,827.64,945.30,951.91,0.7,15.0
Diesel,1 litre,105.29,106.50,105.45,-1.0,0.2
