Quantity,"Unit of
Measure","Average Price
June 2022
(Ksh)","Average Price
May 2023 (Ksh)","Average Price
June2023
(Ksh)","% Change over
last month
June 2023/
May 2023"
1,Kg,84.85,107.98,101.41,(6.1)
1,Kg,72.76,80.67,77.00,(4.6)
1,Kg,58.42,58.66,57.07,(2.7)
1,Kg,49.86,58.59,58.40,(0.3)
1,Kg,129.55,194.29,204.76,5 .4
2,Kg,177.34,192.46,202.98,5 .5
1,Kg,65.89,81.61,86.13,5 .5
1,Kg,112.27,104.98,111.66,6 .4
1,Kg,134.58,129.99,139.52,7 .3
1,Kg,93.18,111.28,121.29,9 .0
13,Kg,"3,218.22","3,125.40","3,069.01",(1.8)
1,Per Month,"12,272.84","12,502.42","12,511.87",0 .1
1,Litre,128.86,161.83,162.19,0 .2
200,Kilowatts,"4,373.12","6,436.28","6,707.02",4 .2
1,Litre,140.91,169.10,167.98,(0.7)
1,Litre,159.94,183.29,182.63,(0.4)
