Month,Nairobi Lower,"Nairobi
Middle","Nairobi
Upper","Nairobi
Combined","Areas
Outside
Nairobi",
,23.30,13.38,4.88,41.57,58.43,
"Feb
Mar
Apr
May
Jun
Jul
Aug
Sep
Oct
Nov
Dec","100.00
100.26
100.77
101.85
102.12
102.43
102.51
102.63
102.60
102.90
103.39","100.00
100.40
101.38
102.27
102.67
103.15
103.42
103.81
104.32
104.76
105.39","100.00
100.20
100.63
101.47
101.79
102.02
102.02
102.11
102.02
102.38
102.73","100.00
100.31
100.97
101.97
102.31
102.66
102.78
102.97
103.11
103.50
104.01","100.00
100.55
101.55
102.77
103.30
103.64
103.94
104.11
104.48
105.12
105.84","100.00
100.44
101.28
102.41
102.85
103.19
103.41
103.58
103.85
104.38
105.01"
Average,101.78,102.59,101.45,102.03,102.91,102.76
"Jan
Feb
Mar","103.68
104.36
104.49","106.00
106.98
107.18","102.78
103.64
103.57","104.37
105.20
105.31","106.56
107.27
107.53","105.58
106.33
106.53"
