House-Rent,"One
Room","4,465.20","4,634.73","4,642.25",0.16,3.97
Electricity,50 KWh,789.57,769.32,768.28,-0.14,-2.70
Electricity,200 KWh,4561.9,4480.86,4476.72,-0.09,-1.87
Kerosene,1 litre,97.36,104.46,103.29,-1.11,6.09
Charcoal,4 Kg,141.04,152.25,154.70,1.61,9.68
Petrol,1 litre,101.13,110.61,113.32,2.45,12.05
Diesel,1 litre,96.83,102.81,105.00,2.13,8.43
